mode,num_samples,hidden_dims,weight_decay,noise_std,layer_norm,best_test_mse,best_epoch,final_train_mse,final_test_mse,curve_path
remove,100000,[],0.0,1.0,False,2.3777444322498064e-12,21,0.00028729306925088166,0.00032153935469686983,./logs_mlp_identity/curves/mode=remove__n=100000__hd=[]__wd=0.0__noise=1.0__ln=False.png
remove,20000,[],0.0,1.0,False,1.0679647225231292e-08,50,1.6187329428873908e-08,1.0679647225231292e-08,./logs_mlp_identity/curves/mode=remove__n=20000__hd=[]__wd=0.0__noise=1.0__ln=False.png
remove,100000,[],0.0001,1.0,False,0.001198602307215333,10,0.0018775573957711459,0.0018770863816142081,./logs_mlp_identity/curves/mode=remove__n=100000__hd=[]__wd=0.0001__noise=1.0__ln=False.png
remove,20000,[],0.0001,1.0,False,0.0012116119964048267,47,0.0012036350527778268,0.0012164571704342962,./logs_mlp_identity/curves/mode=remove__n=20000__hd=[]__wd=0.0001__noise=1.0__ln=False.png
remove,100000,"[2048, 1024]",0.0001,1.0,False,0.017434939366579055,46,0.016459636902809143,0.018161876046657564,"./logs_mlp_identity/curves/mode=remove__n=100000__hd=[2048,1024]__wd=0.0001__noise=1.0__ln=False.png"
remove,100000,"[2048, 1024]",0.0,1.0,False,0.0255229541182518,34,0.024001819214224816,0.03224457219839096,"./logs_mlp_identity/curves/mode=remove__n=100000__hd=[2048,1024]__wd=0.0__noise=1.0__ln=False.png"
remove,20000,"[2048, 1024]",0.0,1.0,False,0.035916322946548465,47,0.022580251917243003,0.03672320410609245,"./logs_mlp_identity/curves/mode=remove__n=20000__hd=[2048,1024]__wd=0.0__noise=1.0__ln=False.png"
remove,20000,"[2048, 1024]",0.0001,1.0,False,0.05235543450713158,30,0.028447679057717324,0.05467085063457489,"./logs_mlp_identity/curves/mode=remove__n=20000__hd=[2048,1024]__wd=0.0001__noise=1.0__ln=False.png"
remove,2000,"[2048, 1024]",0.0,1.0,False,0.22227859258651733,49,0.011051456369459629,0.22389368176460267,"./logs_mlp_identity/curves/mode=remove__n=2000__hd=[2048,1024]__wd=0.0__noise=1.0__ln=False.png"
remove,2000,"[2048, 1024]",0.0001,1.0,False,0.23365896940231323,50,0.024613308385014535,0.23365896940231323,"./logs_mlp_identity/curves/mode=remove__n=2000__hd=[2048,1024]__wd=0.0001__noise=1.0__ln=False.png"
remove,100000,[256],0.0,1.0,False,0.6262162435531616,42,0.5909333534240723,0.6267418112754822,./logs_mlp_identity/curves/mode=remove__n=100000__hd=[256]__wd=0.0__noise=1.0__ln=False.png
remove,20000,[256],0.0,1.0,False,0.6271860995292664,48,0.547506609916687,0.6276630115509033,./logs_mlp_identity/curves/mode=remove__n=20000__hd=[256]__wd=0.0__noise=1.0__ln=False.png
remove,100000,"[512, 256]",0.0,1.0,False,0.6289853489875793,48,0.5932824904441834,0.6291670528411866,"./logs_mlp_identity/curves/mode=remove__n=100000__hd=[512,256]__wd=0.0__noise=1.0__ln=False.png"
remove,20000,"[512, 256]",0.0,1.0,False,0.6305345587730408,50,0.5541131720542908,0.6305345587730408,"./logs_mlp_identity/curves/mode=remove__n=20000__hd=[512,256]__wd=0.0__noise=1.0__ln=False.png"
remove,100000,"[512, 256]",0.0001,1.0,False,0.6306525658607482,45,0.5978497848510742,0.6311985831260681,"./logs_mlp_identity/curves/mode=remove__n=100000__hd=[512,256]__wd=0.0001__noise=1.0__ln=False.png"
remove,20000,[256],0.0001,1.0,False,0.6348748350143433,47,0.5564410448074341,0.6354939560890198,./logs_mlp_identity/curves/mode=remove__n=20000__hd=[256]__wd=0.0001__noise=1.0__ln=False.png
remove,100000,[256],0.0001,1.0,False,0.6348907987594604,30,0.6020825791358948,0.6355591921806335,./logs_mlp_identity/curves/mode=remove__n=100000__hd=[256]__wd=0.0001__noise=1.0__ln=False.png
remove,20000,"[512, 256]",0.0001,1.0,False,0.6384980940818786,36,0.5604398884773254,0.6393886165618896,"./logs_mlp_identity/curves/mode=remove__n=20000__hd=[512,256]__wd=0.0001__noise=1.0__ln=False.png"
remove,2000,"[512, 256]",0.0001,1.0,False,0.7024286437034607,50,0.4231409442424774,0.7024286437034607,"./logs_mlp_identity/curves/mode=remove__n=2000__hd=[512,256]__wd=0.0001__noise=1.0__ln=False.png"
remove,2000,[256],0.0001,1.0,False,0.7259702777862549,50,0.4202675879001617,0.7259702777862549,./logs_mlp_identity/curves/mode=remove__n=2000__hd=[256]__wd=0.0001__noise=1.0__ln=False.png
remove,2000,"[512, 256]",0.0,1.0,False,0.7288109707832336,32,0.4274512827396393,0.7371398115158081,"./logs_mlp_identity/curves/mode=remove__n=2000__hd=[512,256]__wd=0.0__noise=1.0__ln=False.png"
remove,2000,[256],0.0,1.0,False,0.7362394690513611,50,0.4186227095127106,0.7362394690513611,./logs_mlp_identity/curves/mode=remove__n=2000__hd=[256]__wd=0.0__noise=1.0__ln=False.png
remove,2000,[],0.0001,1.0,False,0.8242517566680908,50,0.3108564805984497,0.8242517566680908,./logs_mlp_identity/curves/mode=remove__n=2000__hd=[]__wd=0.0001__noise=1.0__ln=False.png
remove,2000,[],0.0,1.0,False,0.8621362996101379,50,0.311093453168869,0.8621362996101379,./logs_mlp_identity/curves/mode=remove__n=2000__hd=[]__wd=0.0__noise=1.0__ln=False.png
zero,100000,[],0.0,1.0,False,2.4056904478902963e-12,20,0.00032736915899440644,0.0004284732499625534,./logs_mlp_identity/curves/mode=zero__n=100000__hd=[]__wd=0.0__noise=1.0__ln=False.png
zero,20000,[],0.0,1.0,False,9.035854574790391e-09,50,1.379798236911256e-08,9.035854574790391e-09,./logs_mlp_identity/curves/mode=zero__n=20000__hd=[]__wd=0.0__noise=1.0__ln=False.png
zero,100000,[],0.0001,1.0,False,0.001200669795460999,10,0.0018787741946056486,0.001881703371927142,./logs_mlp_identity/curves/mode=zero__n=100000__hd=[]__wd=0.0001__noise=1.0__ln=False.png
zero,20000,[],0.0001,1.0,False,0.0012081955149769784,48,0.0012027898086234927,0.001214302096515894,./logs_mlp_identity/curves/mode=zero__n=20000__hd=[]__wd=0.0001__noise=1.0__ln=False.png
zero,100000,"[2048, 1024]",0.0001,1.0,False,0.017844347256422043,45,0.01651529298722744,0.018838829332590103,"./logs_mlp_identity/curves/mode=zero__n=100000__hd=[2048,1024]__wd=0.0001__noise=1.0__ln=False.png"
zero,100000,"[2048, 1024]",0.0,1.0,False,0.026319865933060647,40,0.024237161764502524,0.02885374357998371,"./logs_mlp_identity/curves/mode=zero__n=100000__hd=[2048,1024]__wd=0.0__noise=1.0__ln=False.png"
zero,20000,"[2048, 1024]",0.0,1.0,False,0.0358108594417572,45,0.02333848398923874,0.03670982393622398,"./logs_mlp_identity/curves/mode=zero__n=20000__hd=[2048,1024]__wd=0.0__noise=1.0__ln=False.png"
zero,20000,"[2048, 1024]",0.0001,1.0,False,0.052148171067237854,41,0.028977072447538377,0.05304253247380257,"./logs_mlp_identity/curves/mode=zero__n=20000__hd=[2048,1024]__wd=0.0001__noise=1.0__ln=False.png"
zero,2000,"[2048, 1024]",0.0,1.0,False,0.20814605951309204,50,0.012814631722867488,0.20814605951309204,"./logs_mlp_identity/curves/mode=zero__n=2000__hd=[2048,1024]__wd=0.0__noise=1.0__ln=False.png"
zero,2000,"[2048, 1024]",0.0001,1.0,False,0.24554526567459106,50,0.028606498762965202,0.24554526567459106,"./logs_mlp_identity/curves/mode=zero__n=2000__hd=[2048,1024]__wd=0.0001__noise=1.0__ln=False.png"
